BANCO DE SABADELL
Image url: http://www.bolsamadrid.es/imagescomun/logosEmisoras/13860.gif
Image folder: SAB.gif
Fecha;Cierre;Referencia;Volumen;Efectivo;Último;Máximo;Mínimo;Medio
28/06/2019;0,9110;0,9000;18.965.238;17.211.037,88;0,9110;0,9114;0,8994;0,9075
01/07/2019;0,9250;0,9110;25.734.297;23.934.819,49;0,9250;0,9454;0,9204;0,9301
02/07/2019;0,9090;0,9250;17.053.770;15.517.554,38;0,9090;0,9274;0,8980;0,9099
03/07/2019;0,9296;0,9090;19.441.309;17.853.055,69;0,9296;0,9296;0,8942;0,9183
04/07/2019;0,9490;0,9296;26.534.483;24.973.708,11;0,9490;0,9522;0,9248;0,9413
05/07/2019;0,9530;0,9490;29.612.636;28.203.805,04;0,9530;0,9620;0,9382;0,9520
08/07/2019;0,9248;0,9530;21.676.020;20.302.651,64;0,9248;0,9594;0,9204;0,9347
09/07/2019;0,9252;0,9248;23.533.988;21.608.465,78;0,9252;0,9284;0,9066;0,9192
10/07/2019;0,9408;0,9252;24.860.466;23.404.459,39;0,9408;0,9576;0,9232;0,9446
11/07/2019;0,9448;0,9408;12.644.462;11.833.694,19;0,9448;0,9450;0,9226;0,9359
12/07/2019;0,9384;0,9448;14.897.396;14.067.694,33;0,9384;0,9556;0,9384;0,9443
15/07/2019;0,9394;0,9384;12.041.863;11.324.101,14;0,9394;0,9498;0,9330;0,9404
16/07/2019;0,9600;0,9394;18.004.692;17.142.953,70;0,9600;0,9600;0,9346;0,9521
17/07/2019;0,9154;0,9600;27.140.699;25.354.914,37;0,9154;0,9556;0,9144;0,9291
18/07/2019;0,9180;0,9154;26.152.248;23.749.705,01;0,9180;0,9246;0,8922;0,9090
19/07/2019;0,8930;0,9180;22.644.533;20.408.346,40;0,8930;0,9294;0,8900;0,9012
22/07/2019;0,8600;0,8930;31.364.038;27.477.942,80;0,8600;0,9000;0,8548;0,8740
23/07/2019;0,8926;0,8600;23.166.861;20.419.909,48;0,8926;0,8926;0,8604;0,8814
24/07/2019;0,8968;0,8926;22.757.769;20.200.277,37;0,8968;0,8984;0,8714;0,8874
25/07/2019;0,8982;0,8968;26.745.778;24.132.358,42;0,8982;0,9250;0,8824;0,9023
26/07/2019;0,8390;0,8982;71.589.857;60.854.722,43;0,8390;0,9090;0,8390;0,8500
29/07/2019;0,8238;0,8390;45.899.614;38.302.915,43;0,8238;0,8540;0,8160;0,8313
30/07/2019;0,7960;0,8238;55.488.580;44.678.187,21;0,7960;0,8276;0,7856;0,7988
31/07/2019;0,7916;0,7960;19.497.132;15.581.550,40;0,7916;0,8086;0,7916;0,7992
01/08/2019;0,7892;0,7916;23.213.576;18.362.648,27;0,7892;0,8060;0,7818;0,7910
02/08/2019;0,7716;0,7892;44.615.605;34.334.594,64;0,7716;0,7846;0,7556;0,7696
